Codi,Barris,Any,Preu_m2
25,Sant Gervasi - la Bonanova  ,2018,16.10
25,Sant Gervasi - la Bonanova  ,2019,16.04
25,Sant Gervasi - la Bonanova  ,2020,15.31
25,Sant Gervasi - la Bonanova  ,2021,15.13
25,Sant Gervasi - la Bonanova  ,2022,15.83
25,Sant Gervasi - la Bonanova  ,2023,17.82
25,Sant Gervasi - la Bonanova  ,2024,18.08
25,Sant Gervasi - la Bonanova  ,2025,19.24
26,Sant Gervasi - Galvany  ,2014,11.69
26,Sant Gervasi - Galvany  ,2015,12.73
26,Sant Gervasi - Galvany  ,2016,13.78
26,Sant Gervasi - Galvany  ,2017,14.61
26,Sant Gervasi - Galvany  ,2018,14.79
26,Sant Gervasi - Galvany  ,2019,15.28
26,Sant Gervasi - Galvany  ,2020,15.32
26,Sant Gervasi - Galvany  ,2021,14.53
26,Sant Gervasi - Galvany  ,2022,15.73
26,Sant Gervasi - Galvany  ,2023,18.42
26,Sant Gervasi - Galvany  ,2024,18.75
26,Sant Gervasi - Galvany  ,2025,18.84
27,el Putxet i el Farró  ,2014,11.01
27,el Putxet i el Farró  ,2015,12.33
27,el Putxet i el Farró  ,2016,13.73
27,el Putxet i el Farró  ,2017,14.88
27,el Putxet i el Farró  ,2018,14.62
27,el Putxet i el Farró  ,2019,15.03
27,el Putxet i el Farró  ,2020,15.09
27,el Putxet i el Farró  ,2021,14.27
27,el Putxet i el Farró  ,2022,15.82
27,el Putxet i el Farró  ,2023,17.29
27,el Putxet i el Farró  ,2024,17.05
27,el Putxet i el Farró  ,2025,18.34
28,Vallcarca i els Penitents  ,2014,10.26
28,Vallcarca i els Penitents  ,2015,11.55
28,Vallcarca i els Penitents  ,2016,12.65
28,Vallcarca i els Penitents  ,2017,14.11
28,Vallcarca i els Penitents  ,2018,13.61
28,Vallcarca i els Penitents  ,2019,14.04
28,Vallcarca i els Penitents  ,2020,14.37
28,Vallcarca i els Penitents  ,2021,13.73
28,Vallcarca i els Penitents  ,2022,14.73
28,Vallcarca i els Penitents  ,2023,16.78
